Market,minSz,Reward/day,Competition,Comp_YES,Comp_NO,Comp_YES_2,Comp_NO_2,Comp_YES_1,Comp_NO_1,yes_token_id,no_token_id
Will the lowest temperature in Hong Kong be 25°C on August 4?,20,57.00,1968,521,142,521,112,501,92,,
Will the lowest temperature in Tokyo be 24°C on August 3?,20,53.00,2142,285,786,257,726,71,148,,
Will the lowest temperature in Hong Kong be 26°C on August 4?,20,37.00,1556,462,316,462,316,323,163,,
Will the highest temperature in Wellington be 16°C on August 3?,20,53.00,2574,310,520,290,292,100,103,,
Will the highest temperature in Denver be between 100-101°F on August 3?,20,57.00,2876,593,715,277,700,150,597,,
Will the highest temperature in Kuala Lumpur be 34°C on August 4?,20,40.00,2026,756,257,176,172,12,5,,
Will the highest temperature in Wellington be 10°C on August 4?,20,55.00,3022,165,115,135,115,10,95,,
Will the highest temperature in Munich be 36°C on August 4?,20,36.00,2129,380,308,116,105,16,5,,
Will the highest temperature in London be 31°C on August 3?,20,32.00,1944,415,347,290,227,65,96,,
Will the highest temperature in Cape Town be 24°C on August 3?,20,25.00,1593,467,305,360,157,85,85,,
Will the highest temperature in Munich be 36°C on August 3?,20,43.00,2771,301,931,219,877,119,412,,
Will the highest temperature in Los Angeles be between 76-77°F on August 3?,20,27.00,1831,280,598,275,417,160,170,,
Will the highest temperature in Austin be between 100-101°F on August 3?,20,57.00,3981,902,767,782,585,212,533,,
Will the lowest temperature in Miami be between 80-81°F on August 3?,20,40.00,2818,714,475,514,439,65,85,,
Will the highest temperature in Shanghai be 35°C on August 3?,20,57.00,4123,1190,758,884,566,64,73,,
Will the highest temperature in Milan be 34°C or below on August 4?,20,36.00,2610,865,217,159,111,87,5,,
Will the highest temperature in Amsterdam be 33°C on August 3?,20,37.00,2779,658,636,393,600,228,545,,
Will the highest temperature in Tel Aviv be 32°C on August 4?,20,35.00,2650,704,376,500,15,93,10,,
Will the highest temperature in Los Angeles be between 78-79°F on August 3?,20,55.00,4313,683,658,227,447,100,105,,
Will the highest temperature in Cape Town be 25°C on August 3?,20,26.00,2115,505,384,440,334,10,40,,
Will the highest temperature in San Francisco be between 78-79°F on August 3?,20,25.00,2039,461,482,266,182,10,18,,
Will the highest temperature in Cape Town be 26°C or higher on August 3?,20,31.00,2536,51,96,28,91,8,7,,
Will the highest temperature in London be 30°C on August 3?,20,38.00,3135,208,891,54,511,34,461,,
Will the highest temperature in Dallas be between 98-99°F on August 3?,20,44.00,3639,1036,162,891,107,190,5,,
Will the highest temperature in Denver be between 102-103°F on August 3?,20,24.00,2010,565,440,540,310,38,74,,
Will the highest temperature in Houston be between 96-97°F on August 3?,20,53.00,4566,861,196,549,102,120,6,,
Will the highest temperature in Madrid be 34°C on August 3?,20,21.00,1830,527,252,422,40,274,30,,
Will the highest temperature in Paris be 36°C on August 3?,20,50.00,4440,1064,956,676,731,102,629,,
Will the highest temperature in Amsterdam be 32°C on August 3?,20,29.00,2570,778,383,385,89,40,5,,
Will the highest temperature in Istanbul be 29°C on August 3?,20,22.00,1988,320,604,226,599,40,306,,
Will the highest temperature in Madrid be 32°C on August 3?,20,23.00,2147,435,638,244,431,5,15,,
Will the highest temperature in Wellington be 11°C on August 4?,20,34.00,3197,823,770,173,618,3,165,,
Will the highest temperature in Helsinki be 21°C on August 3?,20,43.00,4060,651,738,210,403,5,260,,
Will the highest temperature in Milan be 36°C on August 4?,20,30.00,2832,722,215,722,10,213,5,,
Will the highest temperature in Mexico City be 26°C on August 3?,20,37.00,3512,692,1009,356,768,10,130,,
Will the highest temperature in Shanghai be 34°C on August 3?,20,25.00,2368,615,470,391,259,6,1,,
Will the highest temperature in Hong Kong be 28°C on August 4?,20,36.00,3421,409,475,404,305,368,207,,
Will the highest temperature in Panama City be 32°C on August 3?,20,26.00,2490,680,495,488,490,14,87,,
Will the highest temperature in Busan be 36°C on August 3?,20,46.00,4430,908,981,606,667,39,9,,
Will the highest temperature in Miami be between 92-93°F on August 3?,20,41.00,4007,758,715,377,445,30,5,,
Will the highest temperature in Chicago be between 80-81°F on August 3?,20,50.00,4966,311,1189,87,331,17,13,,
Will the highest temperature in Munich be 35°C on August 3?,20,46.00,4601,608,964,188,749,94,482,,
Will the highest temperature in Shenzhen be 32°C on August 4?,20,28.00,2814,736,641,471,411,326,151,,
Will the highest temperature in Ankara be 34°C on August 3?,20,22.00,2233,257,445,127,273,21,126,,
Will the highest temperature in Wellington be 15°C on August 3?,20,46.00,4743,521,1098,320,731,88,512,,
Will the highest temperature in Busan be 35°C on August 3?,20,28.00,2890,891,449,460,405,10,59,,
Will the highest temperature in Chongqing be 27°C on August 3?,20,25.00,2587,429,736,213,629,5,166,,
Will the highest temperature in New York City be between 84-85°F on August 3?,20,36.00,3832,1137,658,588,281,4,6,,
Will the highest temperature in Seoul (Incheon) be 34°C on August 3?,20,43.00,4587,900,1084,870,1069,34,607,,
Will the highest temperature in New York City be between 82-83°F on August 3?,20,39.00,4221,1275,436,610,314,106,90,,
Will the highest temperature in Helsinki be 21°C on August 4?,20,28.00,3048,572,270,277,200,193,130,,
Will the highest temperature in Hong Kong be 30°C on August 4?,20,20.00,2185,468,595,468,337,80,332,,
Will the highest temperature in Austin be between 98-99°F on August 3?,20,29.00,3198,888,441,743,405,571,14,,
Will the highest temperature in Houston be between 98-99°F on August 3?,20,29.00,3238,827,434,386,408,41,83,,
Will the highest temperature in Istanbul be 27°C on August 3?,20,27.00,3020,720,640,279,351,117,5,,
Will the highest temperature in Lucknow be 33°C on August 3?,20,40.00,4491,926,745,643,394,213,26,,
Will the highest temperature in Singapore be 33°C on August 4?,20,42.00,4749,1037,1091,882,936,124,215,,
Will the highest temperature in Manila be 29°C on August 3?,20,27.00,3063,780,654,317,390,5,30,,
Will the highest temperature in Beijing be 33°C on August 4?,20,37.00,4212,978,1128,753,544,404,5,,
Will the highest temperature in Chengdu be 33°C on August 3?,20,45.00,5136,1433,695,873,625,81,74,,
Will the highest temperature in Taipei be 35°C on August 4?,20,36.00,4113,1358,699,1303,201,195,5,,
Will the highest temperature in Guangzhou be 32°C on August 4?,20,37.00,4238,1181,856,211,632,121,176,,
Will the highest temperature in Toronto be 27°C on August 3?,20,21.00,2399,509,426,67,284,31,197,,
Will the highest temperature in Shenzhen be 28°C on August 3?,20,31.00,3567,1143,453,661,261,401,10,,
Will the highest temperature in Chongqing be 30°C on August 4?,20,26.00,3035,1024,493,813,423,5,75,,
Will the highest temperature in Amsterdam be 30°C on August 4?,20,38.00,4486,1480,729,1282,571,120,157,,
Will the highest temperature in Guangzhou be 31°C on August 3?,20,35.00,4142,989,789,432,433,58,137,,
Will the highest temperature in Jeddah be 39°C on August 4?,20,27.00,3281,809,831,508,811,5,393,,
Will the highest temperature in Sao Paulo be 27°C on August 3?,20,44.00,5419,998,1391,182,914,5,687,,
Will the highest temperature in Busan be 35°C on August 4?,20,28.00,3444,831,856,682,856,109,142,,
Will the highest temperature in Wuhan be 38°C on August 4?,20,38.00,4686,821,1452,511,1352,90,748,,
Will the highest temperature in Jeddah be 40°C or higher on August 4?,20,47.00,5838,2021,898,1288,267,626,5,95017576376118178592195972569560025499808279013955649588746441950496636931037,
Will the highest temperature in Madrid be 34°C on August 4?,20,53.00,6708,1269,1369,297,308,5,5,,
Will the highest temperature in Paris be 31°C on August 4?,20,28.00,3547,944,829,558,540,346,317,,
Will the highest temperature in Lucknow be 30°C on August 4?,20,29.00,3686,794,900,483,569,130,155,,
Will the highest temperature in Toronto be 25°C on August 3?,20,33.00,4213,1184,747,690,471,43,5,,
Will the highest temperature in Chicago be between 78-79°F on August 3?,20,33.00,4287,565,547,528,193,191,90,,
Will the highest temperature in Busan be 34°C on August 4?,20,46.00,6018,2158,832,2038,272,118,227,56331496051730636851778258894786636772814722663657077428609405281517733639423,
Will the highest temperature in Tel Aviv be 33°C on August 4?,20,54.00,7092,1509,410,253,175,233,10,,
Will the highest temperature in Seoul (Incheon) be 35°C on August 4?,20,31.00,4113,1359,663,1093,588,110,90,,
Will the highest temperature in Chengdu be 34°C on August 4?,20,26.00,3451,857,854,465,528,5,336,,
Will the highest temperature in Karachi be 32°C on August 4?,20,21.00,2800,825,575,560,570,75,80,,
Will the highest temperature in Karachi be 32°C on August 3?,20,34.00,4554,803,1319,333,701,206,579,,
Will the highest temperature in Helsinki be 22°C on August 3?,20,55.00,7431,1392,1765,691,828,204,561,,43810319351011344128650109153788091694283033120549188387143575338586297153820
Will the highest temperature in Tel Aviv be 35°C on August 3?,20,31.00,4186,804,917,435,438,41,25,,
Will the highest temperature in Qingdao be 35°C on August 4?,20,26.00,3520,1124,611,989,611,100,115,,
Will the highest temperature in Ankara be 32°C on August 3?,20,24.00,3256,766,679,325,225,10,79,,
Will the highest temperature in Madrid be 33°C on August 4?,20,35.00,4772,1451,604,804,378,131,10,,
Will the highest temperature in Chongqing be 32°C on August 4?,20,20.00,2739,169,349,122,18,96,13,,
Will the highest temperature in Lucknow be 34°C on August 3?,20,26.00,3587,763,584,424,279,312,3,,
Will the highest temperature in Atlanta be between 84-85°F on August 3?,20,38.00,5252,1626,756,1056,216,120,2,106271216684004617600062406693430421618704952313927090858754680937758089694157,
Will the highest temperature in Guangzhou be 33°C on August 4?,20,41.00,5686,1429,1273,1159,916,134,236,,
Will the highest temperature in Miami be between 90-91°F on August 3?,20,49.00,6826,1210,1726,489,1127,107,836,,12224803553069778062951235113848785239359071863217599650930745164787487681233
Will the highest temperature in Jeddah be 38°C on August 4?,20,21.00,2923,753,708,653,432,363,5,,
Will the highest temperature in Istanbul be 28°C on August 4?,20,51.00,7214,1461,1846,702,1387,245,556,,10498465280604971812796830386550230231709988249608337964277158716487059370526
Will the highest temperature in Madrid be 33°C on August 3?,20,56.00,7964,1864,1345,1203,801,142,6,106816145839141293997212070002364124247249352742138466778799690522105724688761,
Will the highest temperature in Jeddah be 41°C or higher on August 3?,20,55.00,7867,1848,935,680,563,12,193,,
Will the highest temperature in Milan be 36°C on August 3?,20,53.00,7629,682,1849,201,1128,5,1033,,7354666106171593455112938022131641672703679773585243007232534934509386514242
Will the highest temperature in Shenzhen be 31°C on August 4?,20,32.00,4631,1323,865,1126,689,523,289,,
Will the highest temperature in Tel Aviv be 34°C on August 3?,20,55.00,8017,1458,1703,747,963,0,5,,
Will the highest temperature in Chengdu be 34°C on August 3?,20,30.00,4377,1298,617,705,209,26,11,,
Will the highest temperature in Cape Town be 21°C on August 4?,20,28.00,4111,1038,988,590,595,154,7,,
Will the highest temperature in Karachi be 33°C on August 3?,20,56.00,8271,1595,1636,703,882,117,290,,98509827017367265520411346437599547886975663740967720614819646616657994862811
Will the highest temperature in Toronto be 26°C on August 3?,20,46.00,6807,2103,931,1831,827,1185,129,13415917978264638225906439276523071444092248005443645618112742154670445325273,
