Market,minSz,Reward/day,Competition,Comp_YES,Comp_NO,Comp_YES_2,Comp_NO_2,Comp_YES_1,Comp_NO_1,yes_token_id,no_token_id
Will the highest temperature in Wellington be 10°C on August 4?,20,55.00,3226,222,160,135,115,10,75,,
Will the highest temperature in Seattle be between 76-77°F on August 3?,20,49.00,3552,717,858,192,154,19,8,,
Will the highest temperature in Paris be 32°C on August 4?,20,43.00,3139,904,538,487,298,160,0,,
Will the highest temperature in Singapore be 33°C on August 4?,20,42.00,3198,883,187,162,137,10,15,,
Will the highest temperature in Los Angeles be between 78-79°F on August 3?,20,55.00,4383,684,577,235,338,100,100,,
Will the highest temperature in Shanghai be 35°C on August 3?,20,59.00,5089,1074,996,998,659,68,54,,
Will the highest temperature in Amsterdam be 30°C on August 4?,20,38.00,3348,1087,567,844,433,85,70,,
Will the highest temperature in Denver be between 100-101°F on August 3?,20,55.00,4960,1053,1000,902,995,134,197,,
Will the highest temperature in Amsterdam be 33°C on August 3?,20,34.00,3069,480,737,350,682,228,545,,
Will the highest temperature in Kuala Lumpur be 34°C on August 4?,20,40.00,3652,1154,672,289,235,12,5,,
Will the highest temperature in Seattle be between 78-79°F on August 3?,20,32.00,3104,1055,497,828,448,142,109,,
Will the highest temperature in Dallas be between 98-99°F on August 3?,20,44.00,4326,1516,561,1073,104,171,2,33933889193895875276873737471750380332195398423342035493271895807913618484430,
Will the highest temperature in Chongqing be 31°C on August 4?,20,44.00,4438,1193,981,242,744,95,171,,
Will the highest temperature in Wellington be 15°C on August 3?,20,46.00,4731,555,1274,147,743,22,509,,109088956670349558688467251007679743767648114654506889945039364650189005446793
Will the highest temperature in Buenos Aires be 18°C on August 3?,20,36.00,3721,1168,454,672,242,150,116,,
Will the highest temperature in Wellington be 11°C on August 4?,20,34.00,3610,821,979,191,866,3,214,,
Will the highest temperature in Istanbul be 28°C on August 3?,20,52.00,5535,731,813,401,383,95,70,,
Will the highest temperature in Helsinki be 22°C on August 3?,20,56.00,6075,1218,1063,717,671,162,121,20113412845519555056090907360442670181861119650895403600407703685289334901551,
