Market,minSz,Reward/day,Competition,Comp_YES,Comp_NO,Comp_YES_2,Comp_NO_2,Comp_YES_1,Comp_NO_1,yes_token_id,no_token_id
"Will ""Hacks"" win 2 or 3 awards at the Emmys?",20,239.00,8348,2457,1544,1995,1005,346,688,87268984074949235454516423820016774980998762869214282955518769837227850089548,
Will Francesca Hong win the Wisconsin Democratic Governor primary by 20–25%?,20,126.00,4918,659,522,271,461,10,10,,
"Will ""Hacks"" win 4 or 5 awards at the Emmys?",20,238.00,9615,1662,1652,1621,1611,589,717,,
"Will the next Google Gemini Pro model be released by August 14, 2026?",20,400.00,16777,5271,1873,5266,1674,2353,741,57710947326527517142791816702921024824946830323262226496916404734255533257132,
Will the next Google Gemini Pro model debut with a Humanity’s Last Exam score of 55% or higher?,20,400.00,18535,5948,3193,5586,1886,824,1490,1689974301539039412335036437701475842823357805994662591328627846164870437141,8992537298086968307602338399939445049161073969928753500765797108825350667971
Will Peggy Flanagan win the Minnesota Senate Democratic primary by 5–10%?,20,103.00,5166,1122,1461,1102,1461,697,770,,
Will the next Google Gemini Pro model debut with a Humanity’s Last Exam score of 50% or higher?,20,400.00,20788,5834,1822,1914,1802,958,430,36042285175428118442413846936500286692318665758313455062852706903451381194279,
"Will Axis launch a token by December 31, 2026?",20,80.00,4852,1306,1079,1306,999,960,524,,
Will Alexis Vega (Toluca) record the most assists in the 2027 Liga MX Clausura?,20,65.00,4036,690,1328,690,1328,690,374,,
Will Peggy Flanagan win the Minnesota Senate Democratic primary by 10–15%?,20,91.00,5683,1000,673,712,641,532,460,,
Will Abdul El-Sayed win the Michigan Senate Democratic primary by 10–15%?,20,117.00,8422,3013,1178,2026,994,1336,139,77993036806085501273659334912932288939387347621056069370045071617712942944601,
Will Kevin Gausman be traded by the 2026 MLB Trade Deadline?,20,50.00,4057,1271,758,1139,758,180,140,,
Will the highest temperature in Wellington be 14°C on July 31?,20,51.00,4264,60,987,43,333,20,49,,
"Will Trump say ""Shit"" in August?",30,50.00,4286,2083,60,2083,60,2083,60,,
Will Google be the third-best AI lab at the end of September 2026?,20,49.00,4363,1169,754,1109,714,661,391,,
Will the highest temperature in Houston be between 96-97°F on July 31?,20,54.00,5023,697,1690,153,1354,16,189,,
Will the lowest temperature in London be 17°C on July 31?,20,51.00,4797,707,1489,312,682,147,159,,
"Will ""The Odyssey"" 3rd Weekend Box Office be between 47m and 52m?",20,77.00,7462,2381,1289,2098,1076,158,306,64883155049487033950710023732817050605301533458693015623075103602631863285672,
Will the lowest temperature in Tokyo be 27°C on August 1?,20,50.00,4903,1117,1138,735,699,40,80,,
Will the highest temperature in Wellington be 10°C on August 1?,20,53.00,5205,1521,1082,633,1082,15,606,,
Will 2 Sanders endorsees win August 4 primaries?,20,73.00,7281,1998,781,298,761,10,264,,
Will the highest temperature in Beijing be 33°C on July 31?,20,40.00,4066,1132,751,589,410,120,10,,
Will Angie Craig win the Minnesota Senate Democratic primary by less than 5%?,20,63.00,6471,1419,1816,1419,1816,727,684,,
"Will Zelenskyy post 60-79 posts from July 31 to August 7, 2026?",20,71.00,7470,2288,1427,2002,1176,850,292,74469538299351296554867501347568342875651789668778143946145373758278794797319,
Will the highest temperature in London be 25°C on July 31?,20,45.00,4790,744,983,657,292,442,153,,
Will the highest temperature in Madrid be 38°C on August 1?,20,49.00,5304,1192,425,414,105,65,10,,
Iran full airspace closure by August 31?,20,200.00,22431,5094,5037,4110,3339,1786,1650,5999744809251301706347643347936329832844892022892714657139343310900542354250,110868166890001558521729124967806292012287685900188653582015718186210230012112
